Timestamp,Object,Confidence,Is Weapon,Location X,Location Y
05:30:12,Person,0.506,NO,1785.0,96.0
05:30:12,Person,0.469,NO,414.0,559.5
05:30:13,Person,0.887,NO,88.59,750.0
05:30:13,Person,0.838,NO,1590.0,720.75
05:30:13,Person,0.836,NO,966.75,700.5
05:30:13,Person,0.796,NO,1476.0,921.0
05:30:13,Person,0.774,NO,790.5,502.5
05:30:13,Person,0.773,NO,1069.5,712.5
05:30:13,Person,0.747,NO,1300.5,91.5
05:30:13,Person,0.713,NO,769.5,201.0
05:30:13,Person,0.704,NO,58.12,187.12
05:30:13,Person,0.701,NO,963.0,216.75
05:30:13,Person,0.688,NO,366.38,529.5
05:30:13,Person,0.634,NO,1611.0,99.75
05:30:13,Person,0.623,NO,32.16,416.25
05:30:13,Person,0.614,NO,420.0,559.5
05:30:13,Person,0.587,NO,1665.0,90.0
05:30:13,Person,0.57,NO,1461.0,1041.0
05:30:13,Person,0.57,NO,1192.5,1053.75
05:30:13,Person,0.565,NO,1027.5,211.5
05:30:13,Person,0.56,NO,1405.5,78.75
05:30:13,Person,0.545,NO,1809.0,59.25
05:30:13,Umbrella,0.537,NO,1884.0,680.25
05:30:13,Person,0.531,NO,1842.0,170.62
05:30:13,Person,0.53,NO,1066.5,138.0
05:30:13,Person,0.492,NO,1740.0,60.75
